反應項,反應次數(202),反應比率,反應時間,第一反應次數,第一反應比率,第一反應之反應時間,排序,頻次,類別,yyy排序,代號,AS排名,頻率,百分比,累積百分比
紅寶石(Na),166,0.82,4.29,66,0.33,5.03,2.04,2,0,1,64566,57995,3,0.000,97.216
紅寶石(Na),160,0.80,4.27,64,0.32,4.97,2.05,2,0,2,64566,57995,3,0.000,97.216
紅寶(Na),6,0.03,4.84,2,0.01,6.85,1.67,0,0,3,na,na,na,na,na
鑽石(Na),155,0.77,4.84,74,0.37,5.26,2.33,9,0,4,7560,7560,61,0.001,82.438
鑽石(Na),148,0.74,4.75,74,0.37,5.26,2.26,9,0,5,7560,7560,61,0.001,82.438
金剛石(Na),4,0.02,7.01,0,0.00,0,4.5,0,0,6,na,na,na,na,na
鑽(Na),2,0.01,6.59,0,0.00,0,2.5,0,0,7,70482,70282,2,0.000,97.576
金剛鑽(Na),1,0.01,6.44,0,0.00,0,3,0,0,8,132539,93826,1,0.000,99.325
藍寶石(Na),129,0.64,4.04,23,0.11,4.76,2.79,1,0,9,44661,44359,5,0.000,95.610
藍寶石(Na),124,0.62,3.99,21,0.10,4.66,2.81,1,0,10,44661,44359,5,0.000,95.610
藍寶(Na),5,0.03,5.26,2,0.01,5.84,2.2,0,0,11,na,na,na,na,na
祖母綠(Na),66,0.33,4.94,3,0.02,7.01,3.47,0,0,12,na,na,na,na,na
祖母綠(Na),62,0.31,4.84,2,0.01,7.24,3.53,0,0,13,na,na,na,na,na
綠祖母(Na),4,0.02,6.45,1,0.01,6.55,2.5,0,0,14,na,na,na,na,na
翡翠(Na),65,0.32,3.8,4,0.02,4.58,4.14,4,0,15,16936,16831,22,0.000,89.410
瑪瑙(Na),55,0.27,4.03,3,0.02,5.22,3.93,1,0,16,74815,70282,2,0.000,97.753
水晶(Na),53,0.26,4.48,4,0.02,5.8,4.21,20,0,17,10801,10602,40,0.001,85.693
珍珠(Na),40,0.20,4.48,2,0.01,4.08,4.37,18,0,18,13181,12998,31,0.001,87.396
綠寶石(Na),35,0.17,4.82,4,0.02,6.55,3.14,0,0,19,na,na,na,na,na
玉(Na),23,0.11,4.35,0,0.00,0,4.65,0,0,20,7237,7164,65,0.001,82.021
黃寶石(Na),23,0.11,5.2,0,0.00,0,4.35,0,0,21,na,na,na,na,na
黃寶石(Na),20,0.10,5.37,0,0.00,0,4.45,0,0,22,na,na,na,na,na
黃玉(Na),3,0.02,4.07,0,0.00,0,3.67,0,0,23,112577,93826,1,0.000,98.916
貓眼石(Na),22,0.11,6.61,0,0.00,0,4.18,0,0,24,na,na,na,na,na
貓眼石(Na),20,0.10,6.55,0,0.00,0,4.15,0,0,25,na,na,na,na,na
貓兒眼(Na),2,0.01,7.22,0,0.00,0,4.5,0,0,26,na,na,na,na,na
琥珀(Na),17,0.09,5.4,1,0.01,5.52,4.53,1,0,27,34428,33467,8,0.000,94.208
紫水晶(Na),14,0.07,6.4,0,0.00,0,4.64,0,0,28,na,na,na,na,na
黃金(Na),12,0.06,3.96,0,0.00,0,4.58,44,0,29,2874,2868,192,0.004,72.316
蛋白石(Na),9,0.05,5.79,0,0.00,0,4.78,0,0,30,na,na,na,na,na
珠寶(Na),7,0.04,4.02,1,0.01,3.73,4,27,0,31,11913,11791,35,0.001,86.542
貴(Na),7,0.04,5.68,3,0.02,5.03,3.43,0,0,32,na,na,na,na,na
項鍊(Na),6,0.03,4.88,1,0.01,6.19,3.5,1,0,33,18229,18032,20,0.000,89.971
石英(Na),5,0.03,2.67,0,0.00,0,5,1,0,34,24234,23198,14,0.000,92.009
克拉(Na),5,0.03,5.1,0,0.00,0,4.2,0,0,35,na,na,na,na,na
克拉(Na),4,0.02,5.23,0,0.00,0,4.5,0,0,36,na,na,na,na,na
克拉數(Na),1,0.01,4.56,0,0.00,0,3,0,0,37,na,na,na,na,na
銀(Na),4,0.02,2.29,0,0.00,0,4.5,0,0,38,9500,9472,46,0.001,84.552
黃鑽(Na),4,0.02,9.69,0,0.00,0,4.5,0,0,39,na,na,na,na,na
黃水晶(Na),4,0.02,4.49,0,0.00,0,6.25,0,0,40,na,na,na,na,na
水鑽(Na),4,0.02,4,0,0.00,0,4,0,0,41,na,na,na,na,na
海洋之星(Na),4,0.02,5.17,0,0.00,0,3.75,0,0,42,na,na,na,na,na
琉璃(Na),4,0.02,2.73,0,0.00,0,5.5,9,0,43,10710,10602,40,0.001,85.619
叔叔(Na),134,0.67,3.73,45,0.22,5.01,3.46,36,1,1,4927,4902,103,0.002,78.188
叔叔(Na),120,0.60,3.86,42,0.21,5.05,3.24,36,1,2,4927,4902,103,0.002,78.188
叔(Na),11,0.06,2.77,3,0.02,4.44,5.82,0,1,3,19975,19413,18,0.000,90.649
叔父(Na),3,0.02,2.24,0,0.00,0,3.67,5,1,4,42870,39808,6,0.000,95.396
阿姨(Na),131,0.65,3.11,20,0.10,5.15,3.95,15,1,5,4604,4580,112,0.002,77.480
舅舅(Na),96,0.48,4.11,13,0.07,6.2,4.23,5,1,6,8897,8864,50,0.001,83.956
舅舅(Na),87,0.43,4.14,13,0.07,6.2,4.14,5,1,7,8897,8864,50,0.001,83.956
舅(Na),8,0.04,3.47,0,0.00,0,5.5,0,1,8,34175,33467,8,0.000,94.167
舅父(Na),1,0.01,7.09,0,0.00,0,2,1,1,9,20447,20228,17,0.000,90.819
爸爸(Na),81,0.40,3.96,48,0.24,4.56,1.95,208,1,10,521,520,1112,0.023,51.415
爸爸(Na),59,0.29,3.91,37,0.18,4.28,1.71,208,1,11,521,520,1112,0.023,51.415
爸(Na),11,0.06,4.26,6,0.03,5.73,1.73,0,1,12,2102,2101,277,0.006,68.676
父親(Na),7,0.04,4.43,3,0.02,6.24,4.14,285,1,13,672,672,887,0.018,54.491
父(Na),4,0.02,3.02,2,0.01,3.78,2.25,0,1,14,4778,4742,107,0.002,77.869
媽媽(Na),81,0.40,2.41,21,0.10,3.43,2.38,410,1,15,320,320,1751,0.036,45.767
媽媽(Na),58,0.29,2.32,16,0.08,3.23,2.1,410,1,16,320,320,1751,0.036,45.767
媽(Na),11,0.06,2.64,4,0.02,4.18,2,0,1,17,1337,1337,467,0.010,63.063
母(Na),6,0.03,3.01,1,0.01,3.55,2.5,0,1,18,5730,5682,86,0.002,79.726
母親(Na),6,0.03,2.29,0,0.00,0,5.67,237,1,19,629,629,948,0.019,53.684
姑姑(Na),79,0.39,3.55,14,0.07,5.97,4.62,1,1,20,11690,11546,36,0.001,86.380
姑姑(Na),74,0.37,3.52,13,0.07,6.12,4.72,1,1,21,11690,11546,36,0.001,86.380
姑(Na),5,0.03,4.06,1,0.01,3.98,3.2,0,1,22,38669,36388,7,0.000,94.857
伯伯(Na),66,0.33,3.93,4,0.02,5.46,4.67,7,1,23,4205,4183,124,0.003,76.519
伯伯(Na),35,0.17,4.04,2,0.01,4.34,4.66,7,1,24,4205,4183,124,0.003,76.519
伯父(Na),19,0.10,4.1,2,0.01,6.57,3.84,2,1,25,32799,31067,9,0.000,93.928
阿伯(Na),4,0.02,1.9,0,0.00,0,5,1,1,26,54772,50049,4,0.000,96.549
